date,temperature_mean,temperature_max,temperature_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sunshine_duration_hours,wind_speed_max,wind_gusts_max,relative_humidity_mean
2024-06-03,20.8,27.6,14.1,0.0,0.0,0.0,0.0,11.962322222222223,17.7,33.1,53
2024-06-04,21.4,29.5,14.0,0.0,0.0,0.0,0.0,13.0,21.4,40.7,48
2024-06-05,22.7,30.0,16.3,0.0,0.0,0.0,0.0,11.42068888888889,17.7,34.6,52
2024-06-06,22.8,29.7,17.3,0.2,0.2,0.0,1.0,12.240936111111111,14.5,25.9,59
2024-06-07,21.3,27.4,15.5,0.0,0.0,0.0,0.0,8.486191666666667,16.1,30.2,64
2024-06-08,19.6,24.0,17.0,15.8,15.8,0.0,13.0,5.500275,14.5,28.4,81
2024-06-09,21.0,27.5,15.5,0.0,0.0,0.0,0.0,12.036027777777777,17.0,33.1,75
2024-06-10,22.6,29.8,16.3,0.0,0.0,0.0,0.0,13.0,20.1,40.0,74
2024-06-11,23.2,30.7,18.8,0.0,0.0,0.0,0.0,10.434305555555556,20.8,41.0,73
2024-06-12,23.4,30.9,16.0,0.0,0.0,0.0,0.0,12.782627777777778,19.1,37.4,64
2024-06-13,24.9,32.0,18.5,0.0,0.0,0.0,0.0,13.0,16.7,34.2,59
2024-06-14,25.2,33.1,18.4,0.0,0.0,0.0,0.0,13.0,21.0,40.0,62
2024-06-15,22.9,28.0,20.5,7.2,7.2,0.0,15.0,7.418786111111111,18.5,33.8,79
2024-06-16,22.5,28.9,17.1,0.1,0.1,0.0,1.0,13.0,20.8,37.8,69
2024-06-17,22.5,29.1,16.9,0.0,0.0,0.0,0.0,11.42865,19.5,37.1,62
2024-06-18,23.7,31.4,17.7,0.0,0.0,0.0,0.0,13.0,18.6,37.8,67
2024-06-19,26.5,34.9,18.3,0.0,0.0,0.0,0.0,13.0,13.0,27.7,62
2024-06-20,27.5,35.9,20.3,0.0,0.0,0.0,0.0,13.0,19.8,38.5,51
2024-06-21,26.7,32.8,21.5,0.0,0.0,0.0,0.0,12.270386111111112,18.2,36.7,55
2024-06-22,23.6,25.0,22.8,26.3,26.3,0.0,13.0,0.0,12.1,23.0,83
2024-06-23,24.2,28.8,21.0,7.2,7.2,0.0,9.0,10.111386111111111,21.9,41.8,83
2024-06-24,22.9,26.9,19.8,11.1,11.1,0.0,9.0,10.803877777777778,21.5,41.0,79
2024-06-25,21.2,25.1,16.4,1.0,1.0,0.0,3.0,13.0,22.9,42.5,72
2024-06-26,22.5,29.2,16.8,0.3,0.3,0.0,3.0,12.053269444444444,17.8,32.8,74
2024-06-27,24.8,30.3,19.2,0.0,0.0,0.0,0.0,12.922244444444445,7.0,19.1,64
2024-06-28,24.8,31.0,19.6,0.0,0.0,0.0,0.0,13.032127777777779,14.8,31.0,58
2024-06-29,25.7,33.0,19.6,34.5,34.5,0.0,6.0,9.0,20.6,40.3,67
2024-06-30,23.1,25.1,21.1,4.5,4.5,0.0,15.0,2.7689027777777775,30.8,55.4,90
2024-07-01,24.3,30.0,20.6,0.0,0.0,0.0,0.0,10.666394444444444,16.0,31.0,79
2024-07-02,23.4,24.5,22.1,57.7,57.7,0.0,15.0,0.0,22.0,41.0,88
2024-07-03,24.4,26.7,22.9,5.5,5.5,0.0,20.0,10.248830555555555,26.9,49.0,85
2024-07-04,25.2,29.1,21.4,4.1,4.1,0.0,12.0,11.328619444444444,25.7,50.0,83
2024-07-05,23.4,25.0,21.4,1.9,1.9,0.0,12.0,7.843797222222221,31.4,58.7,85
2024-07-06,24.5,30.0,21.1,25.1,25.1,0.0,16.0,4.552261111111111,33.4,68.0,88
2024-07-07,23.7,27.5,19.5,18.1,18.1,0.0,7.0,4.473175,17.6,34.2,88
2024-07-08,23.4,25.5,22.1,37.7,37.7,0.0,21.0,1.0,14.2,27.0,95
2024-07-09,23.5,26.6,20.7,8.3,8.3,0.0,11.0,1.5333611111111112,20.5,39.2,90
2024-07-10,25.8,30.3,22.4,15.1,15.1,0.0,6.0,12.712088888888887,17.7,32.0,79
2024-07-11,23.9,27.4,21.4,0.4,0.4,0.0,3.0,7.928694444444444,13.9,29.5,89
2024-07-12,24.6,30.4,20.9,0.6,0.6,0.0,3.0,9.235225,10.9,23.8,86
2024-07-13,26.1,31.4,22.1,5.6,5.6,0.0,6.0,12.163008333333334,11.8,22.7,83
2024-07-14,26.1,30.7,22.5,1.4,1.4,0.0,6.0,10.756775,16.2,33.1,79
2024-07-15,26.7,31.0,22.3,0.3,0.3,0.0,3.0,12.285780555555554,13.7,28.1,76
2024-07-16,25.7,30.0,23.5,17.8,17.8,0.0,15.0,7.918305555555556,15.1,31.7,84
2024-07-17,25.0,27.2,22.6,89.6,89.6,0.0,24.0,1.9565916666666665,22.4,48.6,92
2024-07-18,24.7,25.6,23.6,60.6,60.6,0.0,18.0,0.42235833333333334,24.1,45.7,94
2024-07-19,25.5,29.3,23.4,1.2,1.2,0.0,8.0,9.907697222222222,17.7,33.1,89
2024-07-20,25.6,29.8,22.6,25.8,25.8,0.0,10.0,4.441394444444445,25.7,54.7,89
2024-07-21,25.8,29.3,23.0,7.4,7.4,0.0,15.0,9.00658611111111,37.1,65.9,86
2024-07-22,26.4,27.9,24.8,41.4,41.4,0.0,21.0,0.34297777777777777,37.5,68.8,92
2024-07-23,25.2,26.7,23.9,26.2,26.2,0.0,20.0,0.5156305555555556,34.2,70.6,94
2024-07-24,26.2,30.7,23.9,3.4,3.4,0.0,14.0,7.649563888888889,19.6,36.0,90
2024-07-25,27.4,32.1,23.4,5.5,5.5,0.0,6.0,8.782388888888889,11.7,25.6,86
2024-07-26,27.7,33.0,25.0,18.0,18.0,0.0,13.0,6.272469444444444,20.8,43.9,87
2024-07-27,27.2,30.2,25.4,39.4,39.4,0.0,20.0,4.906777777777778,15.5,36.0,90
2024-07-28,28.2,31.2,26.2,0.4,0.4,0.0,4.0,12.576747222222222,27.7,50.4,82
2024-07-29,26.9,28.5,25.6,2.1,2.1,0.0,11.0,4.583230555555556,28.9,51.5,88
2024-07-30,27.1,30.6,25.0,0.9,0.9,0.0,8.0,9.887472222222222,18.5,36.0,88
2024-07-31,27.7,31.6,24.9,0.7,0.7,0.0,7.0,11.945013888888889,15.8,31.0,86
2024-08-01,28.4,32.1,25.3,1.0,1.0,0.0,9.0,12.0,16.5,32.0,85
2024-08-02,27.7,30.3,25.5,11.1,11.1,0.0,9.0,11.695875000000001,18.1,36.4,90
2024-08-03,28.1,32.1,24.5,5.6,5.6,0.0,8.0,10.401475,14.1,28.8,85
2024-08-04,29.2,33.6,24.3,0.0,0.0,0.0,0.0,12.906819444444444,7.2,17.3,82
2024-08-05,28.3,31.7,26.0,15.7,15.7,0.0,13.0,10.305544444444445,11.1,23.8,86
2024-08-06,27.9,31.3,25.2,3.2,3.2,0.0,9.0,11.894627777777778,10.1,23.4,85
2024-08-07,27.4,31.1,24.6,2.2,2.2,0.0,4.0,11.297619444444445,11.9,25.2,85
2024-08-08,26.6,29.7,23.4,6.5,6.5,0.0,9.0,8.790247222222222,11.2,23.8,88
2024-08-09,27.4,32.1,24.4,0.0,0.0,0.0,0.0,10.92235,12.4,23.4,84
2024-08-10,28.1,32.3,24.5,0.0,0.0,0.0,0.0,12.8276,9.2,23.4,84
2024-08-11,28.8,32.9,25.2,0.4,0.4,0.0,3.0,12.253802777777778,11.1,24.5,81
2024-08-12,29.3,32.6,26.1,0.4,0.4,0.0,3.0,12.647897222222221,6.8,17.6,81
2024-08-13,29.0,33.9,25.6,0.6,0.6,0.0,2.0,12.64533611111111,10.7,24.5,82
2024-08-14,28.7,32.9,25.6,0.1,0.1,0.0,1.0,12.688186111111111,11.7,24.1,85
2024-08-15,28.3,32.6,25.8,8.4,8.4,0.0,7.0,11.238858333333333,8.9,22.3,83
2024-08-16,28.5,32.1,25.1,0.1,0.1,0.0,1.0,12.698508333333333,7.7,18.0,80
2024-08-17,28.3,32.6,25.6,2.1,2.1,0.0,3.0,12.523252777777778,10.6,19.8,81
2024-08-18,27.4,32.5,24.4,21.2,21.2,0.0,10.0,10.895916666666668,11.5,27.7,86
2024-08-19,28.1,32.8,25.0,6.9,6.9,0.0,5.0,12.435619444444445,11.3,28.1,85
2024-08-20,29.1,34.3,25.8,10.1,10.1,0.0,8.0,11.551400000000001,11.9,26.3,81
2024-08-21,26.7,28.9,25.6,71.5,71.5,0.0,24.0,0.8265138888888889,28.3,46.4,93
2024-08-22,27.7,31.1,25.3,5.9,5.9,0.0,10.0,9.635061111111112,27.0,51.1,87
2024-08-23,26.5,29.8,24.5,4.3,4.3,0.0,10.0,12.182247222222221,17.8,36.0,86
2024-08-24,26.0,29.7,22.7,0.8,0.8,0.0,3.0,10.172136111111111,11.1,30.2,89
2024-08-25,27.1,30.9,24.4,0.7,0.7,0.0,5.0,10.417766666666667,7.9,19.4,88
2024-08-26,26.6,29.6,23.6,0.8,0.8,0.0,3.0,3.6551222222222224,9.3,20.9,87
2024-08-27,24.5,26.8,22.4,2.0,2.0,0.0,6.0,3.423086111111111,12.3,20.9,77
2024-08-28,26.4,31.6,21.2,0.0,0.0,0.0,0.0,12.20716388888889,18.3,32.0,72
2024-08-29,26.3,31.0,21.2,0.0,0.0,0.0,0.0,12.129880555555555,16.3,30.6,74
2024-08-30,26.2,31.5,21.4,0.0,0.0,0.0,0.0,12.043808333333333,13.0,25.9,77
2024-08-31,24.9,30.2,19.6,0.0,0.0,0.0,0.0,11.925730555555555,8.4,14.8,81
2024-09-01,24.8,28.6,21.0,0.0,0.0,0.0,0.0,11.256758333333334,13.5,28.1,80
2024-09-02,22.9,25.7,20.6,27.0,27.0,0.0,8.0,1.705663888888889,18.7,32.4,81
2024-09-03,24.4,29.5,20.8,0.0,0.0,0.0,0.0,9.362816666666667,14.3,29.5,68
2024-09-04,24.9,30.2,20.2,0.0,0.0,0.0,0.0,11.510541666666667,12.4,25.6,75
2024-09-05,25.1,27.7,22.9,2.0,2.0,0.0,5.0,4.6449333333333325,25.1,47.9,84
2024-09-06,24.0,26.2,21.8,1.7,1.7,0.0,3.0,7.578486111111111,18.8,34.9,81
2024-09-07,24.6,29.3,21.3,1.7,1.7,0.0,5.0,10.591994444444445,11.0,19.4,81
2024-09-08,24.9,30.2,20.4,0.0,0.0,0.0,0.0,11.212786111111111,9.4,16.9,80
2024-09-09,26.6,31.4,22.6,0.0,0.0,0.0,0.0,11.094208333333334,8.8,18.7,79
2024-09-10,27.3,31.6,23.7,0.4,0.4,0.0,3.0,11.155494444444445,11.5,23.0,80
2024-09-11,27.2,32.9,22.9,8.3,8.3,0.0,6.0,11.092630555555555,17.8,33.5,81
2024-09-12,25.0,25.5,24.3,28.4,28.4,0.0,21.0,0.0,10.2,19.8,93
2024-09-13,25.2,27.9,23.7,17.2,17.2,0.0,24.0,0.28144722222222224,11.4,31.0,94
2024-09-14,26.1,29.5,23.7,1.6,1.6,0.0,11.0,10.269222222222222,12.6,25.2,90
2024-09-15,25.6,30.1,22.5,0.6,0.6,0.0,5.0,10.282802777777777,21.3,36.7,82
2024-09-16,25.7,31.3,20.8,0.7,0.7,0.0,4.0,10.958194444444445,15.5,29.2,78
2024-09-17,27.4,31.0,25.0,5.6,5.6,0.0,5.0,10.245833333333334,11.7,27.0,85
2024-09-18,26.9,30.0,24.0,10.9,10.9,0.0,12.0,9.21835,11.0,25.9,88
2024-09-19,26.7,29.6,24.8,1.5,1.5,0.0,7.0,5.6332555555555555,7.8,20.9,90
2024-09-20,24.5,27.2,17.2,69.6,69.6,0.0,20.0,1.2252416666666666,24.4,43.2,93
2024-09-21,19.3,21.9,17.3,28.3,28.3,0.0,14.0,1.6208416666666665,26.4,47.9,79
2024-09-22,20.1,23.9,17.6,0.3,0.3,0.0,3.0,9.0,16.7,31.7,71
2024-09-23,19.1,23.9,15.0,0.0,0.0,0.0,0.0,11.0,14.7,28.8,66
2024-09-24,18.5,23.7,14.0,0.0,0.0,0.0,0.0,11.0,10.1,22.7,71
2024-09-25,20.9,26.2,16.4,0.5,0.5,0.0,5.0,10.985494444444445,10.3,22.3,77
2024-09-26,21.5,26.3,18.8,3.4,3.4,0.0,6.0,10.959777777777777,12.5,25.6,85
2024-09-27,21.3,26.2,16.6,0.3,0.3,0.0,3.0,10.93423888888889,14.2,24.5,80
2024-09-28,21.5,26.3,18.1,0.0,0.0,0.0,0.0,10.908913888888888,17.5,32.4,69
2024-09-29,21.7,26.7,18.1,0.0,0.0,0.0,0.0,10.411702777777776,13.2,26.6,71
2024-09-30,20.5,25.6,16.0,0.0,0.0,0.0,0.0,10.444352777777777,9.3,18.7,78
2024-10-01,17.5,20.4,12.4,5.8,5.8,0.0,7.0,3.833322222222222,19.8,35.6,80
2024-10-02,13.2,18.2,9.8,0.0,0.0,0.0,0.0,10.515313888888889,13.3,27.4,61
2024-10-03,13.9,20.3,8.0,0.0,0.0,0.0,0.0,8.170055555555555,13.7,28.1,67
2024-10-04,14.6,21.1,8.7,0.0,0.0,0.0,0.0,10.757008333333335,10.8,18.7,73
2024-10-05,14.6,21.4,9.0,0.0,0.0,0.0,0.0,10.731522222222223,9.5,14.8,73
2024-10-06,13.5,17.0,9.2,0.1,0.1,0.0,1.0,0.0,9.0,15.8,80
2024-10-07,15.8,20.0,12.5,0.0,0.0,0.0,0.0,5.454680555555555,10.5,20.9,80
2024-10-08,15.8,20.8,10.2,0.5,0.5,0.0,5.0,10.303775,9.8,17.3,83
2024-10-09,16.8,22.2,12.0,0.0,0.0,0.0,0.0,9.992958333333334,10.9,22.3,75
2024-10-10,16.7,21.2,12.9,0.3,0.3,0.0,2.0,10.3315,8.1,21.6,80
2024-10-11,16.0,21.9,11.4,0.0,0.0,0.0,0.0,10.158575,8.9,19.1,81
2024-10-12,15.3,21.0,10.1,0.0,0.0,0.0,0.0,10.354380555555554,8.9,18.4,77
2024-10-13,16.1,22.5,10.2,0.0,0.0,0.0,0.0,6.375686111111111,10.3,20.5,78
2024-10-14,17.9,21.4,15.4,0.2,0.2,0.0,2.0,0.2941722222222222,10.7,19.4,76
2024-10-15,17.6,21.8,14.9,2.3,2.3,0.0,3.0,0.4220083333333333,8.7,18.0,88
2024-10-16,15.9,21.4,12.9,0.0,0.0,0.0,0.0,8.330747222222222,9.0,16.6,85
2024-10-17,16.7,23.4,10.5,0.0,0.0,0.0,0.0,10.02196388888889,8.8,18.4,78
2024-10-18,16.4,18.7,15.5,41.1,41.1,0.0,14.0,0.0,16.3,37.1,88
2024-10-19,15.9,20.8,11.7,9.5,9.5,0.0,5.0,8.0,23.4,41.8,76
2024-10-20,12.4,17.1,9.2,0.0,0.0,0.0,0.0,9.8824,21.2,37.4,59
2024-10-21,12.6,17.5,7.9,0.8,0.8,0.0,3.0,1.4593694444444443,13.7,28.4,76
2024-10-22,15.1,16.9,13.1,13.7,13.7,0.0,15.0,0.0,17.2,32.0,91
2024-10-23,12.2,15.2,7.5,0.8,0.8,0.0,3.0,8.543819444444445,28.2,51.5,74
2024-10-24,10.9,16.8,4.8,0.0,0.0,0.0,0.0,9.702427777777777,11.4,24.5,77
2024-10-25,12.2,19.7,6.4,0.0,0.0,0.0,0.0,8.614502777777778,10.3,22.0,78
2024-10-26,14.9,21.8,9.8,0.0,0.0,0.0,0.0,9.707644444444444,9.4,21.2,79
2024-10-27,14.8,18.1,12.0,0.1,0.1,0.0,1.0,1.5579138888888888,8.5,18.4,85
2024-10-28,14.3,19.3,9.6,0.1,0.1,0.0,1.0,7.577036111111112,18.5,31.7,81
2024-10-29,13.4,17.2,9.3,0.2,0.2,0.0,1.0,5.213294444444444,10.7,21.2,77
2024-10-30,13.6,18.6,9.0,0.0,0.0,0.0,0.0,9.558922222222224,10.4,16.9,81
2024-10-31,13.0,19.7,7.9,0.0,0.0,0.0,0.0,9.398080555555554,11.4,19.4,80
