time,air_temperature,duration_of_sunshine,relative_humidity,air_pressure_at_sea_level,precipitation_amount,cloud_area_fraction
2019-11-01,2.5,1.7,92,1010.5,0.0,7.0
2019-11-02,1.3,0.0,84,996.1,0.0,7.0
2019-11-03,1.9,1.0,65,998.0,0.0,5.7
2019-11-04,1.1,3.8,64,1003.9,0.0,5.3
2019-11-05,-0.8,4.7,68,1006.3,0.0,5.7
2019-11-06,-2.7,3.8,70,1006.3,0.0,4.7
2019-11-07,-3.0,0.8,80,1009.5,0.0,6.0
2019-11-08,-2.3,0.0,78,1012.2,0.0,7.7
2019-11-09,-1.0,0.0,80,1012.0,3.8,8.0
2019-11-10,-0.7,0.0,82,1014.3,0.0,7.3
2019-11-11,-2.2,0.0,86,1007.2,3.4,8.0
2019-11-12,-1.6,0.0,91,1000.7,2.4,8.0
2019-11-13,2.3,0.0,95,1000.9,9.7,7.7
2019-11-14,2.8,0.0,91,1009.5,1.8,8.0
2019-11-15,2.7,0.0,91,1021.9,0.2,8.0
2019-11-16,3.0,0.0,89,1011.9,0.0,8.0
2019-11-17,2.5,2.6,92,1011.8,15.2,7.0
2019-11-18,2.7,0.0,93,1013.6,2.0,8.0
2019-11-19,4.5,0.0,97,1007.8,19.2,8.0
2019-11-20,3.3,1.6,95,1023.0,12.8,6.0
2019-11-21,2.5,0.0,93,1020.9,0.6,8.0
2019-11-22,5.4,0.0,93,1016.6,12.7,8.0
2019-11-23,4.8,0.0,95,1019.4,6.6,8.0
2019-11-24,4.4,0.0,93,1020.8,1.1,8.0
2019-11-25,2.4,0.0,94,1016.9,0.4,8.0
2019-11-26,1.7,0.0,94,1007.4,2.2,8.0
2019-11-27,1.7,0.0,90,999.5,9.0,7.7
2019-11-28,1.5,0.0,87,989.2,3.3,8.0
2019-11-29,0.0,6.1,70,1001.1,5.9,0.7
2019-11-30,-2.7,6.1,89,1015.4,0.0,0.3
2019-12-01,-5.6,0.0,92,1014.3,0.0,7.7
2019-12-02,-5.2,5.8,91,1016.5,0.0,3.0
2019-12-03,-5.2,0.0,95,1012.3,0.0,7.7
