participant,n_samples,accuracy,f1_macro,f1_weighted
p01,138,0.5652173913043478,0.24074074074074073,0.40821256038647347
p02,99,0.8282828282828283,0.33871301469066833,0.8798475129946267
p03,78,0.8461538461538461,0.3564463705308776,0.8451676528599605
p04,144,0.5555555555555556,0.2882896685562535,0.44373904124746777
p05,134,0.7164179104477612,0.33553553553553556,0.6671686611985119
p06,147,0.6326530612244898,0.31592442645074226,0.5690545043928503
p07,132,0.6439393939393939,0.3283453732370141,0.650092253807424
p08,103,0.27184466019417475,0.1757413709285367,0.17936621812329198
p09,102,0.4803921568627451,0.3503607503607504,0.412189118071471
p10,95,0.42105263157894735,0.28504958047292145,0.42141394676622906
p11,107,0.6355140186915887,0.608720112517581,0.6670925509680982
p12,83,0.46987951807228917,0.27485380116959063,0.35975480870851834
p13,68,0.39705882352941174,0.22766995800703668,0.2647158965731339
p14,124,0.5,0.3990740740740741,0.49383960573476704
p15,93,0.45161290322580644,0.3051865424746781,0.38540891903385066
p16,82,0.5853658536585366,0.38763197586726994,0.5764264429974617
