feature,importance
participant_encoded,0.035423275
sleep_time_in_bed,0.021549974
sleep_light,0.021079756
sleep_duration,0.01998674
week_of_year,0.017789427
resting_hr_3d_avg,0.017467262
sleep_deep,0.016554352
sleep_rem,0.0163494
exercise_count,0.016297894
distance_per_step,0.016037224
resting_hr_diff_1d,0.01585001
exercise_calories,0.015550492
hr_std_7d_avg,0.015464548
resting_hr,0.015408854
sleep_rem_3d_avg,0.015346298
calories_per_step,0.015333531
total_calories,0.015065069
sleep_efficiency,0.014962554
sleep_deep_3d_avg,0.014636171
feels_like_temp,0.014567568
hr_min,0.01448972
exercise_intensity,0.014410951
total_distance_3d_avg,0.014361928
hr_std,0.01429735
sleep_rem_7d_avg,0.013928186
sleep_duration_3d_avg,0.013806282
duration_of_sunshine,0.013779901
total_calories_7d_avg,0.01371322
air_temperature,0.013690881
hr_max,0.013658732
day_of_week,0.013649336
sleep_rem_ratio,0.013625889
total_distance,0.013610291
exercise_duration_7d_avg,0.01349952
relative_humidity_7d_avg,0.013480431
total_steps_3d_avg,0.013234629
hr_mean,0.013218298
resting_hr_7d_avg,0.013213261
sleep_wake,0.013148107
hr_std_3d_avg,0.013133086
total_steps_diff_1d,0.013111993
exercise_sleep_ratio,0.0130904205
air_pressure_at_sea_level_7d_avg,0.013022227
air_pressure_at_sea_level,0.013017283
cloud_area_fraction,0.012903522
relative_humidity_3d_avg,0.012804593
sleep_deep_7d_avg,0.012749693
air_temperature_7d_avg,0.012738303
hr_mean_7d_avg,0.012725967
precipitation_amount,0.01252571
day_of_month,0.012436536
hr_resting_ratio,0.01241709
total_steps,0.01236874
hr_mean_3d_avg,0.012357015
exercise_duration_3d_avg,0.012265876
relative_humidity,0.012156859
sleep_duration_7d_avg,0.012118368
sleep_quality_score,0.012004813
total_steps_7d_avg,0.011964644
sleep_duration_diff_1d,0.01195596
clearness,0.011940668
air_temperature_3d_avg,0.011871287
hr_mean_diff_1d,0.011822268
hr_range,0.011820259
exercise_duration,0.011651756
is_rainy,0.01164773
air_pressure_at_sea_level_3d_avg,0.011498159
total_calories_3d_avg,0.0114605
total_distance_7d_avg,0.011438472
sleep_deep_ratio,0.011229016
is_weekend,0.0082139615
